"song_popularity","song_duration_ms","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","audio_mode","speechiness","tempo","time_signature","audio_valence"
45,297986,0.501,0.484,0.381,0,6,0.114,-13.232,1,0.0361,144.939,4,0.409
57,205452,0.587,0.711,0.702,8e-05,11,0.186,-6.677,1,0.154,74.023,4,0.861
41,273113,0.694,0.933,0.462,0.000126,4,0.103,-9.671,1,0.127,130.086,4,0.942
40,175694,0.158,0.817,0.753,0,8,0.103,-4.977,1,0.25,112.978,4,0.517
69,202721,0.938,0.665,0.287,0.149,8,0.103,-14.923,1,0.04,133.924,4,0.386
48,162613,0.00407,0.694,0.603,0.0308,1,0.116,-8.19,1,0.0523,170.028,4,0.654
49,229346,0.0895,0.729,0.801,0,5,0.766,-5.698,0,0.0529,123.995,4,0.764
71,206866,5.24e-05,0.443,0.956,0.825,2,0.135,-6.198,1,0.0511,146.754,4,0.909
27,194716,0.000434,0.762,0.803,2.32e-06,9,0.133,-2.964,1,0.0829,105.971,4,0.19
20,264960,0.0123,0.676,0.882,0,4,0.206,-4.486,1,0.22,88.413,4,0.817
50,505323,0.656,0.477,0.721,0.0451,0,0.629,-7.192,0,0.0523,116.277,4,0.636
91,183752,0.31,0.749,0.752,0,6,0.232,-4.883,1,0.345,180.049,4,0.901
22,268200,5.93e-05,0.206,0.81,0.0644,9,0.0855,-6.492,1,0.0423,163.552,4,0.155
49,190384,0.00989,0.597,0.948,0.526,1,0.3,-4.104,1,0.0664,130.008,4,0.097
61,211533,0.0523,0.626,0.946,0,1,0.149,-4.644,0,0.0779,103.004,4,0.679
93,214846,0.037,0.791,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
15,202907,5.32e-05,0.558,0.953,0.000375,7,0.062,-4.705,1,0.0288,95,4,0.75
59,253039,0.111,0.423,0.333,0.101,2,0.113,-13.277,1,0.0287,83.019,4,0.0954
79,229120,0.0563,0.749,0.723,0.022,1,0.0977,-6.609,1,0.0432,108.999,4,0.674
79,232946,0.0991,0.608,0.86,0,5,0.262,-5.324,0,0.0554,127.075,4,0.437
40,233866,0.351,0.531,0.915,0,11,0.401,-4.131,0,0.426,75.915,4,0.683
22,200254,0.124,0.644,0.703,1.55e-05,1,0.309,-5.153,1,0.0279,116.968,4,0.444
48,269666,0.0846,0.844,0.522,3.24e-05,0,0.0729,-13.277,1,0.0874,115.267,4,0.771
57,220062,0.797,0.511,0.119,0.00432,9,0.12,-15.349,1,0.0414,134.195,4,0.0763
90,180897,0.268,0.738,0.629,0.00114,6,0.163,-4.882,0,0.0495,146.067,4,0.319
59,298466,0.00110999999999999,0.435,0.651,0.609,0,0.111,-6.152,1,0.0288,111.896,4,0.206
57,200079,0.251,0.801,0.765,0,2,0.235,-5.944,1,0.167,150.002,4,0.405
0,210466,0.000135,0.466,0.784,0,7,0.219,-5.01,1,0.0345,150.087,4,0.534
58,173867,0.383,0.666,0.426,1.56e-05,7,0.109,-9.228,0,0.147,159.963,4,0.587
77,164009,0.27,0.659,0.617,0,11,0.187,-5.862,0,0.0649,119.858,4,0.187
61,174357,0.624,0.672,0.59,0.236,1,0.0991,-9.574,1,0.129,169.036,4,0.21
55,473880,0.00933,0.791,0.751,0.857,7,0.151,-8.676,1,0.117,120.004,4,0.658
49,207619,0.00106,0.78,0.869,0.696,1,0.375,-3.699,1,0.09,126.028,4,0.363
6,298133,0.0412,0.723,0.539,0.0132,0,0.0343,-8.041,1,0.038,108.946,4,0.283
71,155973,0.00517,0.462,0.836,0,11,0.18,-5.766,0,0.0621,168.766,4,0.671
47,256524,0.00243,0.479,0.937,0,1,0.132,-5.453,1,0.078,157.044,4,0.458
65,169251,0.149,0.837,0.649,7.63e-05,11,0.103,-5.26,0,0.192,164.002,4,0.948
70,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797
2,196426,0.0631,0.777,0.696,0,7,0.503,-8.168,1,0.118,92.96,4,0.527
48,247226,0.615,0.783,0.74,2.82e-05,5,0.0878,-4.096,0,0.0644,134.042,4,0.669
76,214159,0.09,0.874,0.727,5.83e-06,8,0.0759,-7.689,1,0.0777,98.97,4,0.427
32,205933,0.197,0.41,0.874,0,0,0.0843,-4.286,1,0.0907,107.08,4,0.824
41,198868,0.101,0.658,0.63,0.00040199999999999,6,0.143,-6.817,1,0.0443,137.108,4,0.415
7,234923,0.0654,0.924,0.415,5.94e-05,1,0.0222,-8.573,1,0.0804,113.778,4,0.905
52,205264,0.355,0.493,0.41,0.000213,8,0.118,-8.88,1,0.0633,70.057,4,0.0393
72,369573,0.0481,0.751,0.708,1.83e-05,0,0.107,-5.645,1,0.0545,108.97,4,0.509
61,195136,0.694,0.687,0.484,7.12e-05,2,0.0931,-6.511,1,0.0325,94.966,3,0.815
73,171093,0.208,0.73,0.809,0.0013,5,0.0804,-6.406,0,0.0876,101.965,4,0.825
55,208909,0.112,0.874,0.789,0.149,0,0.0806,-4.667,1,0.036,125.036,4,0.454
73,216247,0.182,0.874,0.706,0,1,0.334,-5.132,1,0.207,89.968,4,0.895
35,427874,0.103,0.752,0.798,0.805,11,0.113,-8.383,0,0.0439,139.989,4,0.74
